datetime,MsgNumber,StateAfter
2025-05-22 15:51:06,2803,0
2025-05-22 15:51:06,2803,1
2025-05-22 15:51:08,2803,0
2025-05-22 15:51:09,2803,1
2025-05-22 15:51:11,2803,0
2025-05-22 15:51:11,2803,1
2025-05-22 15:51:13,2803,0
2025-05-22 15:51:14,2803,1
2025-05-22 15:51:16,2803,0
2025-05-22 15:51:16,2803,1
2025-05-22 15:51:18,2803,0
2025-05-22 15:51:19,2803,1
2025-05-22 15:51:21,2803,0
2025-05-22 15:51:22,2803,1
2025-05-22 15:51:26,2803,0
2025-05-22 15:51:26,2803,1
2025-05-22 15:51:28,2803,0
2025-05-22 15:51:39,2803,1
2025-05-22 15:51:41,2803,0
2025-05-22 15:51:48,2803,1
2025-05-22 15:51:50,2803,0
2025-05-22 15:51:50,2803,1
2025-05-22 15:51:52,2803,0
2025-05-22 15:51:53,2803,1
2025-05-22 15:51:55,2803,0
2025-05-22 15:51:55,2803,1
2025-05-22 15:51:57,2803,0
2025-05-22 15:51:58,2803,1
2025-05-22 15:52:00,2803,0
2025-05-22 15:52:01,2803,1
2025-05-22 15:52:05,2803,0
2025-05-22 15:52:05,2803,1
2025-05-22 15:52:07,2803,0
2025-05-22 15:52:08,2803,1
2025-05-22 15:52:12,2803,0
2025-05-22 15:52:12,2803,1
2025-05-22 15:52:14,2803,0
2025-05-22 15:52:26,2803,1
2025-05-22 15:52:28,2803,0
2025-05-22 15:52:32,2803,1
2025-05-22 15:52:34,2803,0
2025-05-22 15:52:34,2803,1
2025-05-22 15:52:38,2803,0
2025-05-22 15:52:39,2803,1
2025-05-22 15:52:43,2803,0
2025-05-22 15:52:44,2803,1
2025-05-22 15:52:46,2803,0
2025-05-22 15:52:47,2803,1
2025-05-22 15:52:49,2803,0
2025-05-22 15:52:49,2803,1
2025-05-22 15:52:51,2803,0
2025-05-22 15:52:54,2803,1
2025-05-22 15:52:58,2803,0
2025-05-22 15:52:59,2803,1
2025-05-22 15:53:01,2803,0
2025-05-22 15:53:12,2803,1
2025-05-22 15:53:16,2803,0
2025-05-22 15:53:19,2803,1
2025-05-22 15:53:21,2803,0
2025-05-22 15:53:24,2803,1
2025-05-22 15:53:26,2803,0
2025-05-22 15:53:26,2803,1
2025-05-22 15:53:28,2803,0
2025-05-22 15:53:29,2803,1
2025-05-22 15:53:31,2803,0
2025-05-22 15:53:32,2803,1
2025-05-22 15:53:34,2803,0
2025-05-22 15:53:34,2803,1
2025-05-22 15:53:38,2803,0
2025-05-22 15:53:39,2803,1
2025-05-22 15:53:41,2803,0
2025-05-22 15:53:42,2803,1
2025-05-22 15:53:46,2803,0
2025-05-22 15:53:56,2803,1
2025-05-22 15:53:58,2803,0
2025-05-22 15:53:59,2803,1
2025-05-22 15:54:01,2803,0
2025-05-22 15:54:01,2803,1
2025-05-22 15:54:03,2803,0
2025-05-22 15:54:04,2803,1
2025-05-22 15:54:06,2803,0
2025-05-22 15:54:07,2803,1
2025-05-22 15:54:09,2803,0
2025-05-22 15:54:09,2803,1
2025-05-22 15:54:11,2803,0
2025-05-22 15:54:11,2803,1
2025-05-22 15:54:13,2803,0
2025-05-22 15:54:14,2803,1
2025-05-22 15:54:18,2803,0
2025-05-22 15:54:20,2803,1
2025-05-22 15:54:22,2803,0
2025-05-22 15:54:23,2803,1
2025-05-22 15:54:25,2803,0
2025-05-22 15:54:28,2803,1
2025-05-22 15:54:30,2803,0
2025-05-22 15:54:30,2803,1
2025-05-22 15:54:32,2803,0
2025-05-22 15:54:43,2803,1
2025-05-22 15:54:45,2803,0
2025-05-22 15:54:48,2803,1
2025-05-22 15:54:50,2803,0
2025-05-22 15:54:51,2803,1
2025-05-22 15:54:53,2803,0
2025-05-22 15:54:59,2803,1
