datetime,MsgNumber,StateAfter
2025-04-17 08:26:23,1203,6
2025-04-17 08:26:23,1204,6
2025-04-17 08:26:23,1224,6
2025-04-17 08:26:23,807,3
2025-04-17 08:26:23,1605,3
2025-04-17 08:26:59,67,2
2025-04-17 08:27:07,807,2
2025-04-17 08:33:11,67,1
2025-04-17 08:33:11,1204,1
2025-04-17 08:33:11,1224,1
2025-04-17 08:33:16,66,1
2025-04-17 08:33:16,1203,1
2025-04-17 08:33:16,1223,1
2025-04-17 08:33:18,807,1
2025-04-17 08:33:18,1223,0
2025-04-17 08:33:19,1223,1
2025-04-17 08:33:21,1223,0
2025-04-17 08:33:22,1223,1
2025-04-17 08:33:25,1223,0
2025-04-17 08:33:28,1224,0
2025-04-17 08:33:30,1204,0
2025-04-17 08:33:32,1203,0
2025-04-17 08:33:44,66,3
2025-04-17 08:33:44,67,3
2025-04-17 08:33:44,1203,6
2025-04-17 08:33:44,1204,6
2025-04-17 08:33:44,1223,6
2025-04-17 08:33:44,1224,6
2025-04-17 08:33:44,807,3
2025-04-17 08:33:46,66,2
2025-04-17 08:33:46,67,2
2025-04-17 08:33:55,807,2
2025-04-17 09:03:26,66,1
2025-04-17 09:03:33,1203,1
2025-04-17 09:03:33,1223,1
2025-04-17 09:03:33,807,1
2025-04-17 09:05:23,66,3
2025-04-17 09:05:23,1203,3
2025-04-17 09:05:23,1223,3
2025-04-17 09:05:23,807,3
2025-04-17 09:05:50,1223,2
2025-04-17 09:05:50,1203,2
2025-04-17 09:08:19,66,2
2025-04-17 09:08:28,807,2
2025-04-17 09:29:07,2661,1
2025-04-17 09:31:01,2661,0
2025-04-17 09:34:24,2661,6
2025-04-17 10:21:24,67,1
2025-04-17 10:21:31,807,1
2025-04-17 10:21:47,67,3
2025-04-17 10:21:47,807,3
2025-04-17 10:21:49,67,2
2025-04-17 10:21:59,807,2
2025-04-17 10:22:19,67,1
2025-04-17 10:22:19,1653,1
2025-04-17 10:22:26,807,1
2025-04-17 10:23:14,67,0
2025-04-17 10:23:15,67,6
2025-04-17 10:23:15,807,3
2025-04-17 10:23:15,1653,3
2025-04-17 10:23:18,1653,2
2025-04-17 10:23:23,807,2
2025-04-17 14:19:02,1606,1
2025-04-17 14:19:50,1606,0
2025-04-17 14:20:10,1606,1
2025-04-17 14:20:26,1606,0
2025-04-17 15:39:18,1606,1
2025-04-17 15:39:19,1655,1
2025-04-17 15:39:21,1606,0
2025-04-17 15:39:21,1655,0
2025-04-17 15:41:14,1606,6
2025-04-17 15:41:14,1655,6
2025-04-17 15:43:22,1605,2
2025-04-17 16:32:13,66,1
2025-04-17 16:32:13,1203,1
2025-04-17 16:32:13,1223,1
2025-04-17 16:32:20,807,1
2025-04-17 16:32:31,1223,0
2025-04-17 16:32:31,1203,0
2025-04-17 16:35:49,66,0
2025-04-17 16:35:51,66,6
2025-04-17 16:35:51,1203,6
2025-04-17 16:35:51,1223,6
2025-04-17 16:35:51,807,3
2025-04-17 16:35:59,807,2
2025-04-17 16:59:27,1855,1
2025-04-17 17:00:03,1855,0
