datetime,EventName, EventType
2025-09-30 15:30:23.592,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.603,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.615,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.626,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.640,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.655,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.666,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.677,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.687,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.698,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.710,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.721,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.797,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.809,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.820,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.831,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.841,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.853,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.864,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.875,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.886,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.897,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.909,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.920,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.931,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.941,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.953,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.964,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.974,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.985,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:23.996,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.008,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.019,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.030,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.041,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.052,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.063,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.074,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.084,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.095,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.108,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.118,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.129,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.140,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.155,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.167,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.177,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.188,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.199,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.211,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.222,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.232,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.243,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
