SeqNo,Date,UTC Time,datetime,[°C*10] LCC_CABINET_TEMP,[°C*10] LCC_CABINET_HUM,[%] LCC_UPS_BATT_LVL,[bar] HPU_SYSTEM_PRESSURE,[°C*10] HPU_OIL_TEMPERATURE,[rpm] HPU_MOTOR_SPEED,[W] HPU_MOTOR_POWER,[V] BATTERIES_VOLTAGE,[A*10] BATTERIES_CURRENT,[kWh] BATTERIES_CAPACITY,[%] BATTERIES_SOC,[A*10] CHARGER_CURRENT,FRONT_LINKS_UL_POS,FRONT_LINKS_UL_SPEED,FRONT_LINKS_UL_VALVE,FRONT_LINKS_UR_POS,FRONT_LINKS_UR_SPEED,FRONT_LINKS_UR_VALVE,FRONT_LINKS_LL_POS,FRONT_LINKS_LL_SPEED,FRONT_LINKS_LL_VALVE,FRONT_LINKS_LR_POS,FRONT_LINKS_LR_SPEED,FRONT_LINKS_LR_VALVE,[°*10] TUGGER ROTATION,[°/s*100] TUGGER ROTATION SPEED,[bar] TUGGER PRESSURE A,[bar] TUGGER PRESSURE B,[bar] TUGGER PRESSURE BRAKE,[%] TUGGER VALVE,[mm] COG LEFT POSITION,[mm*100] COG LEFT SPEED,[bar] COG LEFT BOTTOMSIDE PRESSURE,[bar] COG LEFT RODSIDE PRESSURE,[mm] COG RIGHT POSITION,[mm*100] COG RIGHT SPEED,[bar] COG RIGHT BOTTOMSIDE PRESSURE,[bar] COG RIGHT RODSIDE PRESSURE,[%] COG VALVE FEEDBACK
126001,2025-09-28,19:39:48.445,2025-09-28 19:39:48.445,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.3689236,522.64,0.0,1.034433,577.21,-0.09735728,-0.1374421,577.13,-0.09955928,0.1229745,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126002,2025-09-28,19:39:48.959,2025-09-28 19:39:48.959,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.09955981,0.5135995,522.635,0.0,0.9548611,577.21,0.0,-0.02893518,577.13,0.0,0.2170139,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126003,2025-09-28,19:39:49.472,2025-09-28 19:39:49.472,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.3978588,522.64,0.0,1.034433,577.205,0.0,-0.1302083,577.13,0.0,0.06510416,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126004,2025-09-28,19:39:49.988,2025-09-28 19:39:49.988,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,1.316551,522.635,0.0,1.128472,577.21,-0.1000125,-0.01446759,577.135,0.101864,0.2025463,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126005,2025-09-28,19:39:50.500,2025-09-28 19:39:50.500,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.3472222,522.635,0.0,1.034433,577.21,0.0,-0.1302083,577.13,0.0,0.1591435,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126006,2025-09-28,19:39:51.015,2025-09-28 19:39:51.015,223,521,100,0,239,0,0,734,123,105,99,147,523.055,0.0,0.4774306,522.635,0.0,0.9548611,577.21,0.0,-0.01446759,577.13,-0.1052757,0.2314815,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126007,2025-09-28,19:39:51.528,2025-09-28 19:39:51.528,223,521,100,0,239,0,0,734,122,105,99,147,523.06,0.0,0.3616898,522.635,-0.100468,1.034433,577.21,0.0,-0.1374421,577.13,-0.09822596,0.1519097,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126008,2025-09-28,19:39:52.043,2025-09-28 19:39:52.043,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.09866686,0.4846644,522.63,0.0,0.9476273,577.21,0.0,-0.02170139,577.13,0.1000118,0.1953125,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126009,2025-09-28,19:39:52.555,2025-09-28 19:39:52.555,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,1.229745,522.635,0.0,1.208044,577.21,-0.09955992,-0.1446759,577.135,0.1004686,0.1446759,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126010,2025-09-28,19:39:53.069,2025-09-28 19:39:53.069,223,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.4918981,522.635,0.101394,0.9476273,577.21,0.0,-0.02170139,577.135,0.0,0.2097801,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
